"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TT_TU_MN009","1443","201905101700","16.7","1","7"
"TT_TU_MN009","1443","201905101800","16.4","1","7"
"TT_TU_MN009","1443","201905101900","15.5","1","7"
"TT_TU_MN009","1443","201905102000","14.4","1","7"
"TT_TU_MN009","1443","201905102100","14.3","1","7"
"TT_TU_MN009","1443","201905102200","13.8","1","7"
"TT_TU_MN009","1443","201905102300","12.3","1","7"
"TT_TU_MN009","1443","201905110000","14.6","1","7"
"TT_TU_MN009","1443","201905110100","14.1","1","7"
"TT_TU_MN009","1443","201905110200","14.9","1","7"
"TT_TU_MN009","1443","201905110300","15.5","1","7"
"TT_TU_MN009","1443","201905110400","15.4","1","7"
"TT_TU_MN009","1443","201905110500","14.8","1","7"
"TT_TU_MN009","1443","201905110600","14.9","1","7"
"TT_TU_MN009","1443","201905110700","15.3","1","7"
"TT_TU_MN009","1443","201905110800","16.4","1","7"
"TT_TU_MN009","1443","201905110900","16.4","1","7"
"TT_TU_MN009","1443","201905111000","15.9","1","7"
"TT_TU_MN009","1443","201905111100","16.2","1","7"
"TT_TU_MN009","1443","201905111200","16.8","1","7"
"TT_TU_MN009","1443","201905111300","16.6","1","7"
"TT_TU_MN009","1443","201905111400","12.8","1","7"
"TT_TU_MN009","1443","201905111500","11.3","1","7"
"TT_TU_MN009","1443","201905111600","11","1","7"
"TT_TU_MN009","1443","201905111700","10.1","1","7"
"TT_TU_MN009","1443","201905111800","8.4","1","7"
"TT_TU_MN009","1443","201905111900","8.6","1","7"
"TT_TU_MN009","1443","201905112000","8.7","1","7"
"TT_TU_MN009","1443","201905112100","9","1","7"
"TT_TU_MN009","1443","201905112200","9.1","1","7"
"TT_TU_MN009","1443","201905112300","9.3","1","7"
"TT_TU_MN009","1443","201905120000","8.2","1","7"
"TT_TU_MN009","1443","201905120100","7.7","1","7"
"TT_TU_MN009","1443","201905120200","6.9","1","7"
"TT_TU_MN009","1443","201905120300","6.8","1","7"
"TT_TU_MN009","1443","201905120400","6.1","1","7"
"TT_TU_MN009","1443","201905120500","5.7","1","7"
"TT_TU_MN009","1443","201905120600","7.1","1","7"
"TT_TU_MN009","1443","201905120700","8.4","1","7"
"TT_TU_MN009","1443","201905120800","9.6","1","7"
"TT_TU_MN009","1443","201905120900","11.1","1","7"
"TT_TU_MN009","1443","201905121000","11.3","1","7"
"TT_TU_MN009","1443","201905121100","11.6","1","7"
"TT_TU_MN009","1443","201905121200","11.8","1","7"
"TT_TU_MN009","1443","201905121300","12.7","1","7"
"TT_TU_MN009","1443","201905121400","13.4","1","7"
"TT_TU_MN009","1443","201905121500","13.8","1","7"
"TT_TU_MN009","1443","201905121600","13.4","1","7"
"TT_TU_MN009","1443","201905121700","13.4","1","7"
"TT_TU_MN009","1443","201905121800","12.8","1","7"
"TT_TU_MN009","1443","201905121900","11.4","1","7"
"TT_TU_MN009","1443","201905122000","9.9","1","7"
"TT_TU_MN009","1443","201905122100","7.8","1","7"
"TT_TU_MN009","1443","201905122200","5.8","1","7"
"TT_TU_MN009","1443","201905122300","6.4","1","7"
"TT_TU_MN009","1443","201905130000","4.9","1","7"
"TT_TU_MN009","1443","201905130100","5.5","1","7"
"TT_TU_MN009","1443","201905130200","4.3","1","7"
"TT_TU_MN009","1443","201905130300","3.6","1","7"
"TT_TU_MN009","1443","201905130400","3.2","1","7"
"TT_TU_MN009","1443","201905130500","3.7","1","7"
"TT_TU_MN009","1443","201905130600","6.9","1","7"
"TT_TU_MN009","1443","201905130700","10.3","1","7"
"TT_TU_MN009","1443","201905130800","11.8","1","7"
"TT_TU_MN009","1443","201905130900","13.2","1","7"
"TT_TU_MN009","1443","201905131000","14.9","1","7"
"TT_TU_MN009","1443","201905131100","14.6","1","7"
"TT_TU_MN009","1443","201905131200","15.5","1","7"
"TT_TU_MN009","1443","201905131300","15.9","1","7"
"TT_TU_MN009","1443","201905131400","15.8","1","7"
"TT_TU_MN009","1443","201905131500","16.1","1","7"
"TT_TU_MN009","1443","201905131600","15.9","1","7"
"TT_TU_MN009","1443","201905131700","16","1","7"
"TT_TU_MN009","1443","201905131800","15.2","1","7"
"TT_TU_MN009","1443","201905131900","13.6","1","7"
"TT_TU_MN009","1443","201905132000","11.7","1","7"
"TT_TU_MN009","1443","201905132100","10.4","1","7"
"TT_TU_MN009","1443","201905132200","9","1","7"
"TT_TU_MN009","1443","201905132300","9.4","1","7"
"TT_TU_MN009","1443","201905140000","9.2","1","7"
"TT_TU_MN009","1443","201905140100","9.2","1","7"
"TT_TU_MN009","1443","201905140200","8.7","1","7"
"TT_TU_MN009","1443","201905140300","9.1","1","7"
"TT_TU_MN009","1443","201905140400","6.9","1","7"
"TT_TU_MN009","1443","201905140500","5.4","1","7"
